,Text,Timestamp,Platform,Hashtags,Retweets,Likes,Country,MappedSentiment,Platform_encoded_1,Platform_encoded_2,SentimentEncoded,Country_encoded
119,enthusiast dive new project,2018-06-15 16:00:00,instagram,"Enthusiasm, NewProject",15,30,usa,Positive,1,0,3,5
120,feel sens fulfil reach mileston,2019-03-28 18:20:00,facebook,"Fulfillment, Milestone",22,45,india,Neutral,0,0,1,2
121,rever beauti histor landmark,2019-11-11 15:00:00,twitter,"Reverence, History",18,35,uk,Other,0,1,2,4
122,elat surpris reunion old friend,2020-04-02 09:30:00,instagram,"Elation, OldFriends",25,50,canada,Positive,1,0,3,1
123,euphoria live music concert star,2021-06-19 14:45:00,facebook,"Euphoria, LiveMusic",15,30,usa,Other,0,0,2,5
124,content simplic quiet sunday,2010-08-15 10:00:00,twitter,"Contentment, SundayMood",30,60,australia,Positive,0,1,3,0
125,seren found page favorit book,2011-09-22 19:30:00,instagram,"Serenity, BookTime",22,45,uk,Other,1,0,2,4
126,gratitud support receiv tough time,2012-03-10 08:30:00,facebook,"Gratitude, Supportive",15,30,india,Positive,0,0,3,2
127,hope possibl new journey,2013-12-05 16:00:00,twitter,"Hope, NewBeginnings",18,35,canada,Neutral,0,1,1,1
128,empower learn person growth,2014-07-20 11:30:00,instagram,"Empowerment, PersonalGrowth",25,50,usa,Positive,1,0,3,5
129,compass toward need holiday,2015-12-22 14:20:00,facebook,"Compassion, HolidaySupport",18,35,usa,Positive,0,0,3,5
130,tender warmth cozi winter even,2016-02-10 19:45:00,twitter,"Tenderness, CozyEvening",25,50,uk,Positive,0,1,3,4
131,arous excit upcom adventur,2017-04-30 11:30:00,instagram,"Arousal, AdventureTime",20,40,australia,Neutral,1,0,1,0
132,enthusiasm creativ project make,2018-09-15 16:00:00,facebook,"Enthusiasm, Creativity",15,30,canada,Positive,0,0,3,1
133,fulfil complet challeng workout routin,2019-06-28 18:20:00,twitter,"Fulfillment, FitnessGoals",22,45,india,Neutral,0,1,1,2
134,rever artistri display museum,2020-11-11 15:00:00,instagram,"Reverence, ArtAppreciation",18,35,uk,Other,1,0,2,4
135,elat achiev person goal,2021-03-02 09:30:00,facebook,"Elation, PersonalAchievement",25,50,usa,Positive,0,0,3,5
136,elat discov hidden gem citi,2012-02-18 14:30:00,twitter,"Elation, HiddenGem",20,40,usa,Positive,0,1,3,5
137,euphoria surpris birthday celebr,2018-11-05 21:45:00,instagram,"Euphoria, BirthdaySurprise",15,30,uk,Other,1,0,2,4
138,content simplic meal,2015-09-12 13:20:00,facebook,"Contentment, HomeCooking",25,50,india,Positive,0,0,3,2
139,seren found melodi peac piano,2016-07-30 18:10:00,twitter,"Serenity, PeacefulMelody",18,35,canada,Other,0,1,2,1
140,gratitud support commun around,2013-04-20 10:30:00,instagram,"Gratitude, CommunitySupport",30,60,usa,Positive,1,0,3,5
141,hope prospect new busi ventur,2017-12-08 19:15:00,facebook,"Hope, BusinessVenture",22,45,canada,Neutral,0,0,1,1
142,empower mentor guid other,2014-06-03 08:20:00,twitter,"Empowerment, Mentorship",15,30,uk,Positive,0,1,3,4
143,compass shown act kind commun,2019-01-15 14:50:00,instagram,"Compassion, CommunityKindness",18,35,australia,Positive,1,0,3,0
144,tender heartfelt messag love one,2016-12-25 19:30:00,facebook,"Tenderness, LoveNote",25,50,uk,Positive,0,0,3,4
145,arous excit trip,2018-03-10 09:45:00,twitter,"Arousal, TravelAdventure",20,40,india,Neutral,0,1,1,2
146,enthusiasm new artist project work,2020-09-17 16:30:00,instagram,"Enthusiasm, ArtisticProject",15,30,usa,Positive,1,0,3,5
147,feel sens fulfil help other,2011-08-28 18:45:00,facebook,"Fulfillment, HelpingOthers",22,45,canada,Neutral,0,0,1,1
148,rever histor signific landmark,2017-11-01 15:30:00,twitter,"Reverence, HistoricalSite",18,35,australia,Other,0,1,2,0
149,elat achiev fit mileston,2019-06-15 10:00:00,instagram,"Elation, FitnessMilestone",25,50,uk,Positive,1,0,3,4
150,euphoria success product launch,2022-04-03 11:45:00,facebook,"Euphoria, ProductLaunchSuccess",15,30,usa,Other,0,0,2,5
151,content embrac love one,2010-11-12 20:20:00,twitter,"Contentment, Love",30,60,india,Positive,0,1,3,2
152,seren found beauti sunset sea,2011-07-22 18:30:00,instagram,"Serenity, SunsetViews",22,45,canada,Other,1,0,2,1
153,gratitud small joy day bring,2012-03-30 11:20:00,facebook,"Gratitude, SmallJoys",15,30,australia,Positive,0,0,3,0
154,hope potenti person growth,2013-10-05 16:40:00,twitter,"Hope, PersonalDevelopment",18,35,uk,Neutral,0,1,1,4
155,empower learn new skill,2014-07-10 13:15:00,instagram,"Empowerment, SkillBuilding",25,50,india,Positive,1,0,3,2
156,compass volunt local chariti,2015-12-18 14:20:00,facebook,"Compassion, VolunteerWork",18,35,usa,Positive,0,0,3,5
157,tender quiet moment share pet,2016-02-10 19:45:00,twitter,"Tenderness, PetLove",25,50,canada,Positive,0,1,3,1
158,arous excit upcom festiv,2017-09-25 11:30:00,instagram,"Arousal, FestivalExcitement",20,40,uk,Neutral,1,0,1,4
159,enthusiasm diy home improv project,2018-04-15 16:00:00,facebook,"Enthusiasm, HomeImprovement",15,30,australia,Positive,0,0,3,0
160,fulfil complet challeng puzzl,2019-11-28 18:20:00,twitter,"Fulfillment, PuzzleChallenge",22,45,india,Neutral,0,1,1,2
161,rever wonder natur hike trail,2020-05-11 15:00:00,instagram,"Reverence, NatureExploration",18,35,usa,Other,1,0,2,5
162,elat surpris reunion childhood friend,2021-02-05 09:30:00,facebook,"Elation, FriendshipReunion",25,50,canada,Positive,0,0,3,1
163,suffer despair anoth setback,2021-03-10 08:30:00,twitter,"Despair, Struggle",5,10,usa,Negative,0,1,0,5
164,overwhelm grief miss love one dearli,2022-07-05 15:45:00,instagram,"Grief, Loss",8,15,canada,Negative,1,0,0,1
165,loneli creep night grow colder,2019-11-18 21:20:00,facebook,"Loneliness, Isolation",10,20,uk,Negative,0,0,0,4
166,jealousi consum wit other success,2020-08-12 11:30:00,twitter,"Jealousy, Envy",12,25,india,Negative,0,1,0,2
167,resent build past betray,2018-05-22 14:45:00,instagram,"Resentment, Bitterness",7,15,australia,Negative,1,0,0,0
168,frustrat mount obstacl block path,2017-01-30 16:10:00,facebook,"Frustration, Obstacles",10,20,usa,Negative,0,0,0,5
169,boredom set day feel endlessli dull,2016-09-28 19:45:00,twitter,"Boredom, LackOfInterest",8,15,canada,Neutral,0,1,1,1
170,anxieti grip heart worri cloud thought,2019-04-15 09:00:00,instagram,"Anxiety, Worry",12,25,uk,Other,1,0,2,4
171,intimid unknown futur ahead,2021-12-03 18:30:00,facebook,"Intimidation, Fear",15,30,india,Negative,0,0,0,2
172,helpless sink challeng pile,2020-06-20 14:20:00,twitter,"Helplessness, Overwhelmed",8,15,australia,Negative,0,1,0,0
173,envi eat away see other prosper,2018-11-07 11:30:00,instagram,"Envy, Desire",10,20,canada,Negative,1,0,0,1
174,regret miss opportun haunt thought,2017-08-25 16:00:00,facebook,"Regret, MissedChances",12,25,uk,Negative,0,0,0,4
175,disgust sight injustic cruelti,2019-02-11 09:45:00,twitter,"Disgust, Injustice",7,15,india,Negative,0,1,0,2
176,drown despair hope slip finger,2016-04-02 20:20:00,instagram,"Despair, Hopeless",10,20,usa,Negative,1,0,0,5
177,grief weigh heavi tear constant companion,2015-10-18 15:30:00,facebook,"Grief, Tears",12,25,canada,Negative,0,0,0,1
178,loneli crowd room silent cri connect,2019-07-12 18:10:00,twitter,"Loneliness, SeekingConnection",15,30,uk,Negative,0,1,0,4
179,jealousi gnaw confid toxic emot,2018-06-03 16:30:00,instagram,"Jealousy, Insecurity",8,15,india,Negative,1,0,0,2
180,resent fester poison relationship,2022-01-15 12:00:00,facebook,"Resentment, BrokenTrust",10,20,australia,Negative,0,0,0,0
181,frustrat boil volcan erupt emot,2017-04-10 14:45:00,twitter,"Frustration, EmotionalOutburst",12,25,usa,Negative,0,1,0,5
182,boredom settl like dust life feel mundan,2016-11-28 19:00:00,instagram,"Boredom, Monotony",7,15,canada,Neutral,1,0,1,1
183,anxieti grip chest relentless grip thought,2018-09-05 09:30:00,facebook,"Anxiety, Restlessness",10,20,uk,Other,0,0,2,4
184,intimid challeng ahead fear take hold,2021-10-22 18:30:00,twitter,"Intimidation, FacingFear",15,30,india,Negative,0,1,0,2
185,helpless engulf drown sea problem,2019-05-08 14:20:00,instagram,"Helplessness, Struggling",8,15,australia,Negative,1,0,0,0
186,envi poison thought covet other success,2017-03-20 11:30:00,facebook,"Envy, Success",10,20,canada,Negative,0,0,0,1
187,regret decis led pain present,2018-12-15 16:00:00,twitter,"Regret, PastChoices",12,25,usa,Negative,0,1,0,5
188,disgust corrupt stain societi,2016-07-01 09:45:00,instagram,"Disgust, Corruption",7,15,uk,Negative,1,0,0,4
189,sink despair day darker last,2020-08-20 20:20:00,facebook,"Despair, DarkDays",10,20,india,Negative,0,0,0,2
190,grief overwhelm storm emot within,2021-02-25 15:30:00,twitter,"Grief, EmotionalStorm",12,25,canada,Negative,0,1,0,1
191,loneli echo empti space yearn connect,2019-09-12 18:10:00,instagram,"Loneliness, YearningForConnection",15,30,australia,Negative,1,0,0,0
192,jealousi poison thought resent brew within,2018-08-05 16:30:00,facebook,"Jealousy, Resentment",8,15,usa,Negative,0,0,0,5
193,resent fester wound refus heal,2017-01-12 12:00:00,twitter,"Resentment, Unforgiving",10,20,india,Negative,0,1,0,2
194,frustrat escal thunderstorm emot,2022-04-05 14:45:00,instagram,"Frustration, EmotionalOutburst",12,25,uk,Negative,1,0,0,4
195,boredom linger stagnant pool indiffer,2021-10-02 19:00:00,facebook,"Boredom, Stagnation",7,15,canada,Neutral,0,0,1,1
196,embark journey discoveri fuel curios thirst knowledg,2023-04-15 10:15:00,twitter,"Curiosity, Learning",15,30,usa,Neutral,0,1,1,5
197,lost vast sea inform indiffer wave digit ocean,2022-11-28 17:30:00,instagram,"Indifference, DigitalOverload",7,15,canada,Neutral,1,0,1,1
198,complex puzzl life leav state perpetu confus seek answer chao,2020-04-02 09:45:00,facebook,"Confusion, LifePuzzle",10,20,uk,Negative,0,0,0,4
199,numb settl shield overwhelm emot life throw way,2021-08-10 14:00:00,twitter,"Numbness, EmotionalShield",8,15,india,Negative,0,1,0,2
200,gaze sunset melanchol long moment slip finger time,2019-06-18 20:45:00,instagram,"Melancholy, SunsetMoments",12,25,australia,Negative,1,0,0,0
201,revisit old photograph caught embrac nostalgia bittersweet symphoni,2018-02-05 15:15:00,facebook,"Nostalgia, MemoryLane",10,20,usa,Neutral,0,0,1,5
202,torn conflict emot ambival paint decis shade uncertainti,2022-05-30 11:30:00,twitter,"Ambivalence, UncertainChoices",12,25,canada,Neutral,0,1,1,1
203,embrac ebb flow life find accept danc exist,2023-01-10 16:20:00,instagram,"Acceptance, LifeJourney",15,30,uk,Neutral,1,0,1,4
204,face challeng determin fuel fire within achiev imposs,2020-09-18 13:45:00,facebook,"Determination, AchieveTheImpossible",10,20,india,Other,0,0,2,2
205,seren found still natur tranquil retreat chao modern world,2021-07-03 19:00:00,twitter,"Serenity, NatureRetreat",12,25,australia,Other,0,1,2,0
206,curios lead rabbit hole knowledg perpetu student life classroom,2022-10-08 08:15:00,instagram,"Curiosity, KnowledgeQuest",20,40,usa,Neutral,1,0,1,5
207,float day air indiffer detach mundan happen around,2023-03-22 16:30:00,facebook,"Indifference, FloatingThroughLife",10,20,canada,Neutral,0,0,1,1
208,entangl web thought confus reign navig labyrinth idea,2021-05-15 11:45:00,twitter,"Confusion, ThoughtLabyrinth",15,30,uk,Negative,0,1,0,4
209,numb chao emot lock away stoic facad conceal inner turmoil,2019-12-28 14:30:00,instagram,"Numbness, StoicFacade",8,15,australia,Negative,1,0,0,0
210,melancholi whisper breez silent convers echo forgotten dream,2020-03-01 19:00:00,facebook,"Melancholy, WhispersInTheBreeze",12,25,india,Negative,0,0,0,2
211,stumbl upon old journal nostalgia flood wave carri moment long gone,2018-07-10 15:45:00,twitter,"Nostalgia, JournalMoments",10,20,canada,Neutral,0,1,1,1
212,tapestri conflict feel weav uncertainti caught thread ambival,2022-01-05 10:30:00,instagram,"Ambivalence, ConflictingFeelings",12,25,uk,Neutral,1,0,1,4
213,embrac flaw find accept imperfect journey toward,2021-08-20 16:20:00,facebook,"Acceptance, SelfLoveJourney",15,30,australia,Neutral,0,0,1,0
214,determin burn like wildfir overcom obstacl turn dream realiti,2019-11-03 13:45:00,twitter,"Determination, DreamsIntoReality",18,35,usa,Other,0,1,2,5
215,tranquil moment ocean seren wash peac retreat within wave embrac,2020-04-12 19:30:00,instagram,"Serenity, OceanRetreat",25,50,canada,Other,1,0,2,1
216,explor new horizon spark curios adventur vast landscap knowledg,2022-04-15 08:45:00,facebook,"Curiosity, NewHorizons",22,45,india,Neutral,0,0,1,2
217,drift day nonchal demeanor embrac art indiffer,2023-02-10 17:00:00,twitter,"Indifference, DriftingThroughLife",9,18,uk,Neutral,0,1,1,4
218,wrestl thought perplex mind lost labyrinth life complex,2020-08-05 12:15:00,instagram,"Confusion, PerplexedMind",14,28,australia,Negative,1,0,0,0
219,immers state emot numb shield storm daili struggl,2021-12-01 15:30:00,facebook,"Numbness, EmotionalShield",10,20,usa,Negative,0,0,0,5
